Id,Title,Author
1,The Declaration of Independence of the United States of America,Thomas Jefferson
2,The United States Bill of Rights,United States
4,Lincoln's Gettysburg Address,Abraham Lincoln
5,The United States Constitution,United States
6,Give Me Liberty or Give Me Death,Patrick Henry
8,Abraham Lincoln's Second Inaugural Address,Abraham Lincoln
9,Abraham Lincoln's First Inaugural Address,Abraham Lincoln
11,Alice's Adventures in Wonderland,Lewis Carroll
12,Through the Looking-Glass,Lewis Carroll
13,The Hunting of the Snark: An Agony in Eight Fits,Lewis Carroll
14,The 1990 CIA World Factbook,United States. Central Intelligence Agency
15,"Moby-Dick; or, The Whale",Herman Melville
16,Peter Pan,J. M. Barrie
17,The Book of Mormon,Church of Jesus Christ of Latter-day Saints and Smith
19,The Song of Hiawatha,Henry Wadsworth Longfellow
22,Roget's Thesaurus,Peter Mark Roget
23,"Narrative of the Life of Frederick Douglass, an American Slave",Douglass
25,The 1991 CIA World Factbook,United States. Central Intelligence Agency
28,Aesop's Fables,Aesop
31,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles
33,The Scarlet Letter,Nathaniel Hawthorne
35,The Time Machine,H. G. Wells
36,The War of the Worlds,H. G. Wells
41,The Legend of Sleepy Hollow,Washington Irving
42,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
43,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
44,The Song of the Lark,Willa Cather
45,Anne of Green Gables,L. M. Montgomery
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens
47,Anne of Avonlea,L. M. Montgomery
48,The 1992 CIA World Factbook,United States. Central Intelligence Agency
50,Pi,Scott Hemphill
51,Anne of the Island,L. M. Montgomery
52,The Square Root of 2,Stan Kerr
54,The Marvelous Land of Oz,L. Frank Baum
55,The Wonderful Wizard of Oz,L. Frank Baum
59,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth,
60,The Scarlet Pimpernel,Baroness Emmuska Orczy Orczy
61,The Communist Manifesto,Friedrich Engels and Karl Marx
62,A Princess of Mars,Edgar Rice Burroughs
63,"The Number ""e""",Unknown
64,The Gods of Mars,Edgar Rice Burroughs
68,Warlord of Mars,Edgar Rice Burroughs
69,The 32nd Mersenne Prime,David Slowinski
72,"Thuvia, Maid of Mars",Edgar Rice Burroughs
73,The Red Badge of Courage: An Episode of the American Civil War,Stephen Crane
78,Tarzan of the Apes,Edgar Rice Burroughs
82,Ivanhoe: A Romance,Walter Scott
83,"From the Earth to the Moon; and, Round the Moon",Jules Verne
84,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley
85,The Beasts of Tarzan,Edgar Rice Burroughs
86,A Connecticut Yankee in King Arthur's Court,Mark Twain
87,The 1993 CIA World Factbook,United States. Central Intelligence Agency
90,The Son of Tarzan,Edgar Rice Burroughs
92,Tarzan and the Jewels of Opar,Edgar Rice Burroughs
95,The Prisoner of Zenda,Anthony Hope
96,The Monster Men,Edgar Rice Burroughs
97,Flatland: A Romance of Many Dimensions,Edwin Abbott Abbott
98,A Tale of Two Cities,Charles Dickens
99,Collected Articles of Frederick Douglass,Frederick Douglass
103,Around the World in Eighty Days,Jules Verne
106,Jungle Tales of Tarzan,Edgar Rice Burroughs
108,The Return of Sherlock Holmes,Arthur Conan Doyle
113,The Secret Garden,Frances Hodgson Burnett
120,Treasure Island,Robert Louis Stevenson
121,Northanger Abbey,Jane Austen
123,At the Earth's Core,Edgar Rice Burroughs
124,Deuterocanonical Books of the Bible,Anonymous
126,The Poison Belt,Arthur Conan Doyle
127,"The Number ""e""",Jerry T. Bonnell and Robert J. Nemiroff
129,The Square Root of 2,Jerry T. Bonnell and Robert J. Nemiroff
130,Orthodoxy,G. K. Chesterton
131,The Pilgrim's Progress from this world to that which is to come,John Bunyan
135,Les Misérables,Victor Hugo
137,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School",Burnett
139,The Lost World,Arthur Conan Doyle
145,Middlemarch,George Eliot
146,A Little Princess,Frances Hodgson Burnett
148,The Autobiography of Benjamin Franklin,Benjamin Franklin
149,The Lost Continent,Edgar Rice Burroughs
155,The Moonstone,Wilkie Collins
157,Daddy-Long-Legs,Jean Webster
159,The Island of Doctor Moreau,H. G. Wells
163,Flower Fables,Louisa May Alcott
164,Twenty Thousand Leagues under the Sea,Jules Verne
167,American Hand Book of the Daguerreotype,S. D. Humphrey
168,The History and Practice of the Art of Photography,Henry Hunt Snelling
169,The Well at the World's End: A Tale,William Morris
172,The Haunted Bookshop,Christopher Morley
173,The Insidious Dr. Fu Manchu,Sax Rohmer
174,The Picture of Dorian Gray,Oscar Wilde
175,The Phantom of the Opera,Gaston Leroux
180,The 1994 CIA World Factbook,United States. Central Intelligence Agency
200,"The Project Gutenberg Encyclopedia, Volume 1 of 28",Project Gutenberg
201,Flatland: A Romance of Many Dimensions (Illustrated),Edwin Abbott Abbott
202,My Bondage and My Freedom,Frederick Douglass
203,Uncle Tom's Cabin,Harriet Beecher Stowe
204,The Innocence of Father Brown,G. K. Chesterton
207,The Spell of the Yukon and Other Verses,Robert W. Service
209,The Turn of the Screw,Henry James
212,A List of Factorial Math Constants,Unknown
213,The Man from Snowy River,A. B. Paterson
214,"In the Days When the World Was Wide, and Other Verses",Henry Lawson
215,The Call of the Wild,Jack London
216,"The Tao Teh King, or the Tao and its Characteristics",Laozi
218,C. Iuli Caesaris De Bello Gallico,Julius Caesar
221,The Return of Sherlock Holmes,Arthur Conan Doyle
223,The Wisdom of Father Brown,G. K. Chesterton
225,At the Back of the North Wind,George MacDonald
226,Cicero's Orations,Marcus Tullius Cicero
227,Aeneidos,Virgil
228,The Aeneid,Virgil
229,The Bucolics and Eclogues,Virgil
230,The Bucolics and Eclogues,Virgil
231,Georgicon,Virgil
234,Child Christopher and Goldilind the Fair,William Morris
236,The Jungle Book,Rudyard Kipling
244,A Study in Scarlet,Arthur Conan Doyle
271,Black Beauty,Anna Sewell
272,An Open Letter on Translating,Martin Luther
273,The Smalcald Articles,Martin Luther
